0.0	86.02	61.13	76.5	986.5	697.2	1318.0	1333.0	476.4	677.0	232.1	507.0	251.5	391.5	255.7	206.6	920.7	287.77	597.0	663.5	35.93	53.76	24.9	104.3	11.44	661.5	543.0	153.6	184.4	354.55	3025.0	335.8	479.5	298.9	526.5	689.0	-4.189	125.8	485.3	-2.859	387.1	-450.4	252.7	220.3	-5.869	390.9	553.3	187.0	216.1	92.99
-35.36	0.0	38.81	74.15	524.1	787.6	270.6	526.1	182.6	448.8	37.85	333.5	214.5	240.9	163.9	61.11	749.3	280.5	336.9	318.9	-36.87	58.55	-13.99	-109.7	100.1	357.5	NaN	76.302	NaN	262.9	NaN	NaN	183.8	31.14	179.0	-52.87	-66.46	359.3	-70.45	449.4	48.33	NaN	NaN	86.46	NaN	200.2	268.1	-617.0	62.56	NaN
-11.12	3.446	0.0	167.0	636.1	637.35	903.8	1329.0	25.77	347.3	5.994	287.1	32.14	161.7	122.8	90.49	648.2	-4.449	212.5	537.4	-18.81	-144.4	-231.9	3.0	187.0	168.0	194.9	52.07	-10.43	-64.69	210.4	113.3	261.3	154.26	169.9	383.9	-259.1	389.3	245.6	22.67	103.5	-432.3	238.9	30.04	-88.11	NaN	333.3	NaN	-59.58	-39.16
-69.7	-113.6	-146.8	0.0	803.2	603.25	5695.0	884.9	-52.1	586.6	5688.0	197.8	213.1	19.02	-49.29	23.5	664.2	52.8	6096.0	872.3	-114.1	-111.0	-80.25	-141.3	-211.0	3629.0	4448.0	-9.451	393.6	48.49	4975.0	259.0	210.0	-152.55	4284.0	-119.2	-282.5	101.4	5629.0	-245.39	69.26	683.3	355.5	46.38	NaN	NaN	421.9	NaN	-203.6	184.9
156.4	457.0	89.6	25.82	0.0	-137.1	353.5	-259.7	84.0	-203.6	101.1	267.8	28.06	83.02	42.7	-323.0	-52.39	170.0	6.712	199.0	75.62	65.28	-98.12	143.1	123.5	256.5	157.1	488.9	147.5	-120.5	-318.9	313.5	202.1	727.8	-202.1	74.27	225.8	44.78	-143.9	NaN	190.3	-817.7	202.7	-504.2	72.96	-382.7	-248.3	NaN	104.7	57.65
16.51	-12.52	-50.0	-44.5	249.1	0.0	-181.0	-101.7	23.39	306.4	-10.72	179.7	-128.6	359.3	-20.98	53.9	489.7	580.5	53.28	-202.0	-38.32	-102.5	-139.4	-44.76	-28.25	75.14	457.88	-31.09	17.5	-61.76	-119.2	212.1	106.3	-119.1	-399.3	-5.224	33.47	-48.25	-172.4	NaN	165.7	NaN	NaN	NaN	-52.1	NaN	NaN	37.63	-59.4	-46.01
300.0	496.1	362.3	377.6	-229.1	289.6	0.0	324.5	-195.4	-116.0	72.87	233.87	540.5	48.89	168.0	304.0	459.0	459.0	112.6	-14.09	325.4	370.4	353.7	497.5	133.9	220.6	399.5	887.1	NaN	188.0	12.72	NaN	777.1	NaN	-139.0	160.8	NaN	NaN	319.0	NaN	-197.5	-363.8	NaN	-452.2	NaN	835.6	139.6	NaN	407.9	NaN
275.8	217.5	25.34	244.2	-451.6	-265.2	-601.8	0.0	-356.1	-271.1	-449.4	-32.52	-162.9	-832.97	NaN	NaN	-305.5	-305.5	NaN	408.9	NaN	517.27	NaN	1827.0	6915.0	NaN	-413.48	8484.0	NaN	NaN	-687.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-494.2	NaN	NaN	-659.0	NaN	NaN	NaN	NaN	NaN	1005.0
26.76	42.92	140.1	365.8	164.5	108.7	472.5	-133.1	0.0	-37.36	-213.7	-190.4	-103.6	NaN	-174.2	-169.0	6201.0	7.341	481.7	669.4	-191.7	-130.3	-354.6	-39.2	-119.8	137.5	548.5	216.1	-46.28	-163.7	71.46	53.59	245.2	-246.6	-44.58	-63.5	-34.57	NaN	-61.7	NaN	-18.8	-588.9	NaN	NaN	NaN	NaN	37.54	NaN	NaN	-162.6
505.7	56.3	23.39	106.0	529.0	-340.2	480.8	-155.6	128.0	0.0	-110.3	766.0	304.1	NaN	NaN	NaN	NaN	NaN	-106.4	497.5	751.9	67.52	-483.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	117.0	NaN	2.21	NaN	-339.2	172.4	NaN	-268.8	NaN	-275.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
114.8	132.1	85.84	-170.0	245.4	249.63	200.8	-36.72	372.2	185.1	0.0	-241.8	-235.7	NaN	-73.5	-196.7	475.5	-0.13	494.6	660.2	-34.74	108.9	-209.7	54.57	442.4	-81.13	NaN	183.0	NaN	202.3	-101.7	148.3	18.88	71.48	52.08	-28.61	-275.2	NaN	85.33	NaN	560.2	NaN	NaN	NaN	NaN	NaN	151.8	NaN	NaN	NaN
